spotify:track:4fJNWwqA8cEWUrJ1W1vj0F,0.195,0.27,222237.0,0.484,0.0,6.0,0.12,-8.148,1.0,0.0432,47.559,5.0,0.329
spotify:track:0cYKvOFLoFZulGSl3YvB3k,0.228,0.808,207076.0,0.805,0.0135,0.0,0.112,-3.359,0.0,0.0395,119.988,4.0,0.643
spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0.624,170827.0,0.876,0.0,9.0,0.327,-3.374,1.0,0.1,99.943,4.0,0.781
spotify:track:3nzL5CIQiCEt6jRt1AlQ9d,0.00678,0.439,207240.0,0.884,0.0,0.0,0.192,-4.207,1.0,0.0297,150.049,4.0,0.522
spotify:track:0Hs2G9j5uHEGX2wHN3Wgs7,0.373,0.522,207053.0,0.758,0.0,0.0,0.133,-3.887,1.0,0.035,139.957,4.0,0.569
spotify:track:5BJSZocnCeSNeYMj3iVqM7,0.165,0.714,224227.0,0.933,0.0,7.0,0.111,-3.714,1.0,0.0571,120.019,4.0,0.714
spotify:track:5zT5cMnMKoyruPj13TQXGx,0.862,0.389,273000.0,0.302,0.00567,7.0,0.104,-12.485,0.0,0.0438,124.956,4.0,0.234
spotify:track:2WIhkOOOg4idfWOjJnWTU1,0.0874,0.293,222244.0,0.768,0.0,7.0,0.638,-5.162,0.0,0.0855,75.797,4.0,0.291
spotify:track:7yOM2G9qVtFDOALNmwrp3Z,0.715,0.593,191187.0,0.514,3.83e-05,0.0,0.0911,-6.803,1.0,0.0414,115.628,4.0,0.194
spotify:track:6m0qBDIhzICOwWMPZdgyVK,0.868,0.606,227500.0,0.326,0.0,7.0,0.12,-9.401,1.0,0.119,78.906,4.0,0.489
spotify:track:0Xe3C9GFIcEAiOw5ryA6y7,0.215,0.659,211095.0,0.656,0.0,11.0,0.0474,-4.357,1.0,0.0713,175.934,5.0,0.922
spotify:track:27P900HRrMaRjkTbGiTKLl,0.375,0.709,198562.0,0.434,0.000146,8.0,0.0872,-10.972,1.0,0.0566,67.494,4.0,0.362
spotify:track:7cOi1w3MoljmLhoTDMDkC9,0.409,0.477,238360.0,0.788,0.0,10.0,0.194,-5.472,1.0,0.082,138.217,4.0,0.377
spotify:track:5EbX5xL3O2xT8FxCpYzgUO,0.173,0.315,175517.0,0.563,0.000242,9.0,0.0673,-9.671,1.0,0.354,179.484,4.0,0.147
spotify:track:7E390nZTMqEbrNC1TmHd42,0.0879,0.538,244907.0,0.818,1.39e-06,1.0,0.0971,-6.147,0.0,0.0586,127.101,4.0,0.198
spotify:track:5f0WLQquCf955JPSnt7JvR,0.00779,0.699,161440.0,0.854,0.0,7.0,0.138,-3.874,0.0,0.0427,112.027,4.0,0.747
spotify:track:2mN9PvVZX0thvOclMwQAju,0.93,0.492,191813.0,0.202,0.000379,10.0,0.203,-11.568,1.0,0.0319,133.875,4.0,0.399
spotify:track:5ZllLzbyP8IlPg5mQEYxIK,0.0228,0.642,261093.0,0.834,0.0,10.0,0.126,-5.281,0.0,0.0674,79.982,4.0,0.58
spotify:track:4qug3gWrzeTNm0GhOkugJV,0.859,0.795,233747.0,0.378,0.0,4.0,0.204,-9.979,1.0,0.316,100.227,4.0,0.576
spotify:track:6BWTZwXamKhjdYlicjjVjB,0.249,0.662,201133.0,0.744,0.000147,6.0,0.116,-3.194,1.0,0.0317,97.977,4.0,0.387
spotify:track:4XuK9jJP3mpYBq5qf68vfF,0.00399,0.403,173161.0,0.551,1.24e-05,11.0,0.528,-5.615,0.0,0.0611,75.704,4.0,0.315
spotify:track:4nMlau89VAjmV7agkl7OY3,0.562,0.822,198001.0,0.544,2.4e-05,0.0,0.144,-6.797,1.0,0.0332,122.047,4.0,0.861
spotify:track:28GUjBGqZVcAV4PHSYzkj2,0.0403,0.66,213253.0,0.9,0.0,7.0,0.219,-5.02,1.0,0.14,85.51,4.0,0.591
spotify:track:0azC730Exh71aQlOt9Zj3y,0.199,0.63,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,0.465
spotify:track:6HFbq7cewJ7rPiffV0ciil,0.00622,0.545,267867.0,0.675,0.00197,6.0,0.214,-6.468,1.0,0.0279,124.973,4.0,0.16
